Activity,Counts
,1
boat capsized,1
jump/fell overboard,1
diving,1
fishing,1
boat capsized,1
shipwreck,1
shipwreck,1
jump/fell overboard,1
fishing,1
jump/fell overboard,1
,1
shipwreck,1
diving,1
,1
shipwreck,1
jump/fell overboard,1
jump/fell overboard,1
jump/fell overboard,1
jump/fell overboard,1
bathing,1
,1
,1
spearfishing,1
,1
swimming,1
,1
,1
surfing,1
surfing,1
shark related activities,1
fishing,1
,1
swimming,1
diving,1
surfing,1
swimming,1
,1
diving,1
swimming,1
wading/standing,1
,1
wading/standing,1
spearfishing,1
diving,1
surfing,1
,1
,1
diving,1
fishing,1
swimming,1
diving,1
diving,1
diving,1
surfing,1
swimming,1
,1
,1
surfing,1
spearfishing,1
fishing,1
wading/standing,1
rowing,1
surfing,1
swimming,1
spearfishing,1
swimming,1
diving,1
shipwreck,1
,1
,1
surfing,1
spearfishing,1
wading/standing,1
swimming,1
jump/fell overboard,1
wading/standing,1
diving,1
surfing,1
surfing,1
boat capsized,1
surfing,1
surfing,1
fishing,1
diving,1
swimming,1
diving,1
wading/standing,1
shipwreck,1
wading/standing,1
surfing,1
spearfishing,1
fishing,1
kayaking,1
shark related activities,1
wading/standing,1
plane crash,1
spearfishing,1
,1
surfing,1
surfing,1
swimming,1
,1
swimming,1
surfing,1
,1
plane crash,1
swimming,1
shark related activities,1
diving,1
jump/fell overboard,1
shark related activities,1
diving,1
,1
fishing,1
swimming,1
wading/standing,1
,1
rowing,1
surfing,1
surfing,1
swimming,1
spearfishing,1
surfing,1
swimming,1
fishing,1
fishing,1
surfing,1
swimming,1
fishing,1
surfing,1
diving,1
boat capsized,1
,1
,1
shark related activities,1
jump/fell overboard,1
fishing,1
surfing,1
boat capsized,1
,1
surfing,1
wading/standing,1
spearfishing,1
,1
shipwreck,1
spearfishing,1
shark related activities,1
diving,1
diving,1
diving,1
shark related activities,1
,1
,1
,1
,1
surfing,1
surfing,1
diving,1
,1
playing,1
diving,1
jump/fell overboard,1
,1
,1
diving,1
diving,1
wading/standing,1
plane crash,1
diving,1
,1
diving,1
,1
,1
,1
fishing,1
,1
spearfishing,1
surfing,1
,1
spearfishing,1
diving,1
surfing,1
,1
diving,1
,1
,1
,1
surfing,1
diving,1
fishing,1
,1
swimming,1
,1
,1
shark related activities,1
shark related activities,1
shark related activities,1
swimming,1
,1
diving,1
,1
diving,1
,1
diving,1
wading/standing,1
shark related activities,1
,1
surfing,1
,1
shark related activities,1
diving,1
swimming,1
fishing,1
fishing,1
,1
diving,1
shark related activities,1
spearfishing,1
surfing,1
kayaking,1
swimming,1
wading/standing,1
,1
diving,1
fishing,1
surfing,1
shark related activities,1
shark related activities,1
wading/standing,1
surfing,1
surfing,1
shark related activities,1
jump/fell overboard,1
,1
surfing,1
shark related activities,1
,1
swimming,1
swimming,1
boat capsized,1
fishing,1
shark related activities,1
,1
shark related activities,1
swimming,1
kayaking,1
shark related activities,1
,1
diving,1
body surfing,1
spearfishing,1
kayaking,1
,1
shark related activities,1
,1
body surfing,1
kayaking,1
shark related activities,1
swimming,1
shark related activities,1
shark related activities,1
body surfing,1
diving,1
,1
fishing,1
fishing,1
,1
,1
fishing,1
fishing,1
surfing,1
surfing,1
shark related activities,1
,1
surfing,1
shark related activities,1
shark related activities,1
plane crash,1
,1
surfing,1
swimming,1
,1
fishing,1
fishing,1
diving,1
spearfishing,1
shark related activities,1
surfing,1
,1
kayaking,1
shark related activities,1
,1
diving,1
,1
spearfishing,1
kayaking,1
swimming,1
,1
,1
swimming,1
,1
shark related activities,1
wading/standing,1
surfing,1
surfing,1
fishing,1
shark related activities,1
swimming,1
shark related activities,1
swimming,1
wading/standing,1
swimming,1
wading/standing,1
wading/standing,1
wading/standing,1
swimming,1
swimming,1
,1
,1
diving,1
swimming,1
fishing,1
,1
,1
diving,1
surfing,1
surfing,1
swimming,1
surfing,1
swimming,1
rowing,1
fishing,1
swimming,1
shark related activities,1
,1
boat capsized,1
swimming,1
rowing,1
fishing,1
surfing,1
,1
surfing,1
surfing,1
shark related activities,1
shark related activities,1
diving,1
,1
swimming,1
,1
jump/fell overboard,1
shark related activities,1
shark related activities,1
surfing,1
swimming,1
wading/standing,1
shipwreck,1
,1
shark related activities,1
,1
,1
,1
,1
swimming,1
spearfishing,1
shipwreck,1
diving,1
,1
shark related activities,1
,1
,1
fishing,1
bathing,1
shark related activities,1
,1
spearfishing,1
jump/fell overboard,1
,1
,1
,1
spearfishing,1
fishing,1
swimming,1
fishing,1
fishing,1
,1
,1
jump/fell overboard,1
wading/standing,1
fishing,1
kayaking,1
kayaking,1
spearfishing,1
fishing,1
,1
diving,1
plane crash,1
kayaking,1
,1
swimming,1
surfing,1
fishing,1
fishing,1
diving,1
,1
diving,1
kayaking,1
swimming,1
,1
kayaking,1
fishing,1
,1
,1
diving,1
spearfishing,1
,1
surfing,1
,1
fishing,1
,1
,1
diving,1
fishing,1
diving,1
,1
,1
diving,1
,1
surfing,1
boat capsized,1
,1
,1
fishing,1
swimming,1
shark related activities,1
,1
wading/standing,1
shark related activities,1
shark related activities,1
fishing,1
,1
playing,1
shark related activities,1
,1
fishing,1
,1
spearfishing,1
shipwreck,1
fishing,1
,1
,1
diving,1
spearfishing,1
,1
fishing,1
plane crash,1
,1
wading/standing,1
,1
spearfishing,1
shipwreck,1
,1
swimming,1
spearfishing,1
fishing,1
rowing,1
fishing,1
,1
spearfishing,1
swimming,1
,1
surfing,1
,1
swimming,1
,1
,1
bathing,1
jump/fell overboard,1
jump/fell overboard,1
boat capsized,1
diving,1
jump/fell overboard,1
shipwreck,1
shark related activities,1
spearfishing,1
,1
wading/standing,1
fishing,1
fishing,1
boat capsized,1
swimming,1
,1
fishing,1
diving,1
,1
fishing,1
,1
,1
spearfishing,1
,1
jump/fell overboard,1
fishing,1
plane crash,1
diving,1
jump/fell overboard,1
,1
,1
plane crash,1
shark related activities,1
plane crash,1
shark related activities,1
plane crash,1
wading/standing,1
spearfishing,1
fishing,1
fishing,1
,1
spearfishing,1
fishing,1
diving,1
diving,1
spearfishing,1
diving,1
,1
fishing,1
floating,1
swimming,1
shark related activities,1
kayaking,1
spearfishing,1
jump/fell overboard,1
boat capsized,1
fishing,1
shipwreck,1
diving,1
rowing,1
fishing,1
plane crash,1
shipwreck,1
,1
,1
,1
shark related activities,1
diving,1
shipwreck,1
shipwreck,1
surfing,1
diving,1
spearfishing,1
spearfishing,1
fishing,1
,1
diving,1
,1
fishing,1
shipwreck,1
shark related activities,1
shark related activities,1
swimming,1
diving,1
rowing,1
shark related activities,1
shark related activities,1
spearfishing,1
fishing,1
,1
,1
surfing,1
shipwreck,1
diving,1
shark related activities,1
,1
spearfishing,1
wading/standing,1
boat capsized,1
boat capsized,1
diving,1
surfing,1
,1
shark related activities,1
diving,1
diving,1
surfing,1
wading/standing,1
fishing,1
spearfishing,1
,1
fishing,1
,1
,1
spearfishing,1
,1
,1
,1
,1
,1
spearfishing,1
fishing,1
swimming,1
,1
,1
shark related activities,1
spearfishing,1
,1
,1
,1
